# k, Pcc, Pcchi
5.184593543892912596e-05 2.289300392104511275e+02 2.289300392104511275e+02
5.268921421350676549e-05 2.325248827947912957e+02 2.325248827947912957e+02
5.354620899273612700e-05 2.361777851714603003e+02 2.361777851714603003e+02
5.441714286865887004e-05 2.398864066892498670e+02 2.398864066892498670e+02
5.530224256192899801e-05 2.436549158708941434e+02 2.436549158708941434e+02
5.620173848083187778e-05 2.474809124890747114e+02 2.474809124890747114e+02
5.711586478126435033e-05 2.513686831383654976e+02 2.513686831383654976e+02
5.804485942768983719e-05 2.553157655118520779e+02 2.553157655118520779e+02
5.898896425508493637e-05 2.593265676056965958e+02 2.593265676056965958e+02
5.994842503189408905e-05 2.633985634721300926e+02 2.633985634721300926e+02
6.092349152400711648e-05 2.675362859306668497e+02 2.675362859306668497e+02
6.191441755977847869e-05 2.717371437947332993e+02 2.717371437947332993e+02
6.292146109610350833e-05 2.760057982237321426e+02 2.760057982237321426e+02
6.394488428556936667e-05 2.803395911569682539e+02 2.803395911569682539e+02
6.498495354469887545e-05 2.847433157075677173e+02 2.847433157075677173e+02
6.604193962330304700e-05 2.892142451495950581e+02 2.892142451495950581e+02
6.711611767496287204e-05 2.937573083638043272e+02 2.937573083638043272e+02
6.820776732865691926e-05 2.983697071542887329e+02 2.983697071542887329e+02
6.931717276155400522e-05 3.030565109250886167e+02 3.030565109250886167e+02
7.044462277299036847e-05 3.078148476963974076e+02 3.078148476963974076e+02
7.159041085964887167e-05 3.126499319106795269e+02 3.126499319106795269e+02
7.275483529196232206e-05 3.175588159394586114e+02 3.175588159394586114e+02
7.393819919175873207e-05 3.225468634296444179e+02 3.225468634296444179e+02
7.514081061116962114e-05 3.276110491252151178e+02 3.276110491252151178e+02
7.636298261282241959e-05 3.327568901567582884e+02 3.327568901567582884e+02
7.760503335133570393e-05 3.379812816117135412e+02 3.379812816117135412e+02
7.886728615614154998e-05 3.432898985044394635e+02 3.432898985044394635e+02
8.015006961565412610e-05 3.486795541863597805e+02 3.486795541863597805e+02
8.145371766280736284e-05 3.541560860798322210e+02 3.541560860798322210e+02
8.277856966198471106e-05 3.597162235463688376e+02 3.597162235463688376e+02
8.412497049736118173e-05 3.653659711703425046e+02 3.653659711703425046e+02
8.549327066268383750e-05 3.711019703248408632e+02 3.711019703248408632e+02
8.688382635251193202e-05 3.769303990597268808e+02 3.769303990597268808e+02
8.829699955494083421e-05 3.828478072177612148e+02 3.828478072177612148e+02
8.973315814583520257e-05 3.888605525288451190e+02 3.888605525288451190e+02
9.119267598459298522e-05 3.949650909211297289e+02 3.949650909211297289e+02
9.267593301146882789e-05 4.011679651234809398e+02 4.011679651234809398e+02
9.418331534647960399e-05 4.074655345422040114e+02 4.074655345422040114e+02
9.571521538991854827e-05 4.138645323510687604e+02 4.138645323510687604e+02
9.727203192450537027e-05 4.203612187516640120e+02 4.203612187516640120e+02
9.885417021919572569e-05 4.269625229666396535e+02 4.269625229666396535e+02
1.004620421346813112e-04 4.336646032375301729e+02 4.336646032375301729e+02
1.020960662306046523e-04 4.404745906022333202e+02 4.404745906022333202e+02
1.037566678745185890e-04 4.473885383968120664e+02 4.473885383968120664e+02
1.054442793526168330e-04 4.544137855019391736e+02 4.544137855019391736e+02
1.071593399822671062e-04 4.615462744471589076e+02 4.615462744471589076e+02
1.089022962263730431e-04 4.687935605049447076e+02 4.687935605049447076e+02
1.106736018095973297e-04 4.761514693994787422e+02 4.761514693994787422e+02
1.124737178364751899e-04 4.836277819085763667e+02 4.836277819085763667e+02
